ticker,price
AAPL,168.87
MSFT,310.98
AMZN,3176.93
TSLA,1020.14
GOOGL,2755.93
GOOG,2762.87
FB,325.7
NVDA,257.77
BRK.B,317.67
JPM,149.48
JNJ,167.72
UNH,467.55
HD,363.0
PG,163.43
V,217.54
BAC,46.48
MA,365.88
XOM,73.29
PFE,53.78
DIS,152.73
CSCO,59.32
CVX,129.64
ADBE,528.69
ABBV,136.36
PEP,175.6
AVGO,573.77
KO,60.83
TMO,599.52
CMCSA,50.61
NFLX,520.81
WFC,56.29
ABT,127.18
INTC,54.34
CRM,231.0
VZ,53.48
ACN,352.84
COST,494.54
MRK,81.75
PYPL,176.29
WMT,144.62
QCOM,175.4
LLY,248.28
T,27.35
MCD,257.45
NKE,147.48
DHR,290.05
TXN,181.41
LOW,237.81
LIN,326.35
AMD,130.94
NEE,83.06
PM,101.92
UNP,239.55
INTU,557.76
UPS,205.64
HON,213.7
MDT,108.7
BMY,64.98
SCHW,91.5
ORCL,84.87
AMAT,146.85
CVS,104.24
RTX,91.23
MS,95.83
AMGN,232.06
C,64.55
CAT,222.89
BA,221.04
GS,349.57
IBM,133.17
BLK,836.61
COP,87.36
SBUX,97.99
AMT,251.13
PLD,156.16
GE,101.93
ANTM,450.9
DE,378.17
TGT,226.77
ISRG,299.35
MU,91.23
AXP,162.99
NOW,541.91
MMM,180.0
SPGI,430.19
BKNG,2407.35
ZTS,203.31
ADP,228.13
LRCX,657.62
F,22.67
MDLZ,67.96
MO,50.36
LMT,378.82
PNC,211.5
TFC,65.16
ADI,165.14
GILD,69.66
SYK,261.87
GM,57.38
CB,194.51
USB,57.84
TJX,69.99
MMC,160.48
CME,230.0
CI,240.74
CCI,185.09
DUK,102.02
CSX,35.28
BDX,263.56
SHW,308.35
CHTR,587.14
EW,117.85
EL,315.69
SO,68.35
ICE,126.71
CL,84.73
ITW,245.62
FIS,114.98
NSC,278.05
COF,153.51
EQIX,739.11
ETN,165.95
MRNA,179.1
FCX,44.41
PGR,108.66
REGN,626.01
ATVI,82.37
APD,289.44
D,79.3
FISV,107.32
KLAC,405.5
BSX,44.55
TMUS,106.19
FDX,253.92
EOG,105.03
NOC,407.67
WM,156.97
AON,274.0
ILMN,392.34
HCA,248.27
VRTX,232.25
NXPI,217.07
EMR,96.42
MCO,352.43
ADSK,257.9
PSA,362.56
EXC,56.5
JCI,74.83
ECL,216.18
SLB,37.24
TEL,158.86
AIG,59.88
SPG,151.09
DG,219.17
HUM,382.18
MET,67.48
PXD,217.56
NEM,64.23
GD,212.7
BK,59.58
SNPS,317.49
APH,79.67
INFO,121.21
KMB,143.24
ROP,447.72
XLNX,194.6
IQV,243.85
MPC,74.12
CNC,78.41
CTSH,86.88
AEP,90.59
LHX,231.04
ORLY,670.43
DOW,59.94
MCHP,78.58
IDXX,532.36
DLR,156.55
PRU,114.49
DD,82.9
MAR,156.61
HPQ,37.32
GPN,147.92
SRE,136.94
CARR,49.66
BAX,86.02
A,142.41
MSCI,525.17
CDNS,155.95
TT,179.18
PH,327.0
GIS,69.36
FTNT,314.32
DXCM,441.94
MSI,247.59
CMG,1492.27
AZO,1969.0
TRV,162.75
APTV,147.4
SYY,78.49
HLT,144.4
STZ,243.39
ADM,71.49
O,69.48
PAYX,124.05
EBAY,62.66
AFL,63.55
SIVB,652.2
MCK,253.67
PPG,163.77
PSX,87.84
TROW,169.55
WBA,53.44
EA,137.8
WELL,86.84
YUM,125.7
DFS,120.19
STT,95.11
ROK,322.78
XEL,68.47
AMP,312.93
IFF,141.19
ALGN,504.55
WMB,29.18
OTIS,84.07
SBAC,326.38
ROST,100.0
ALL,122.27
CTVA,47.53
RMD,244.84
VLO,85.02
BIIB,232.88
