ticker,price
AAPL,176.47
MSFT,319.0
AMZN,3328.0
TSLA,1078.41
GOOGL,2817.4
FB,336.1
GOOG,2823.99
NVDA,280.93
BRK.B,321.45
JPM,167.35
JNJ,171.09
UNH,472.0
HD,387.99
PG,159.26
V,215.77
BAC,49.21
MA,367.57
PFE,56.76
XOM,71.69
DIS,158.68
CSCO,62.48
AVGO,627.7
ADBE,535.8
CVX,128.7
TMO,622.38
ABBV,137.3
PEP,174.1
ABT,136.35
NFLX,545.74
ACN,377.0
KO,60.65
CMCSA,51.39
COST,524.0
CRM,237.4
INTC,56.36
PYPL,189.22
WFC,56.35
VZ,53.66
LLY,252.7
QCOM,187.49
MRK,81.5
WMT,144.24
MCD,263.13
DHR,307.65
NKE,151.12
T,26.4
LOW,251.12
LIN,337.02
TXN,186.2
NEE,84.88
AMD,139.3
INTU,585.51
UNP,247.76
PM,101.14
UPS,211.8
MS,106.5
HON,217.31
MDT,108.4
BMY,65.45
ORCL,88.85
SCHW,94.25
CVS,106.27
AMAT,154.1
GS,403.41
RTX,91.0
C,67.26
AMGN,233.28
BLK,890.9
SBUX,104.59
CAT,221.75
IBM,133.23
BA,217.79
AMT,261.99
ISRG,331.42
NOW,583.27
PLD,154.0
GE,101.8
TGT,229.69
ANTM,453.73
COP,84.32
AXP,176.46
DE,383.0
SPGI,444.9
MU,95.7
MMM,179.85
BKNG,2486.18
ZTS,214.63
ADP,236.94
F,24.51
PNC,225.3
LRCX,678.0
MDLZ,67.37
ADI,174.97
MO,49.55
GILD,72.59
SYK,268.17
LMT,363.5
TJX,74.76
GM,61.8
TFC,65.9
CB,199.48
MMC,165.73
USB,62.22
CCI,188.0
CSX,36.43
CME,223.68
CI,240.14
DUK,103.4
EL,344.0
SHW,324.6
MRNA,221.46
EW,120.0
CHTR,615.02
BDX,261.74
ICE,132.0
FIS,116.73
SO,67.65
CL,83.17
ITW,244.26
NSC,286.85
EQIX,779.63
COF,159.4
ETN,167.76
ILMN,421.0
APD,298.0
REGN,626.88
FISV,108.4
TMUS,111.9
KLAC,429.57
D,79.13
PGR,108.92
AON,287.7
FCX,44.21
FDX,256.5
BSX,43.41
WM,159.93
NXPI,228.87
NOC,401.87
HCA,250.33
EOG,103.35
MCO,370.0
ADSK,272.93
EMR,97.0
VRTX,225.77
JCI,79.64
ECL,226.62
PSA,363.48
EXC,56.0
DG,230.0
SPG,162.1
TEL,160.94
SNPS,345.0
AIG,61.8
ATVI,66.05
SLB,36.6
HUM,391.66
IQV,260.29
XLNX,202.86
INFO,124.2
MET,68.1
APH,82.8
GD,212.0
NEM,61.0
ROP,460.28
KMB,143.13
BK,63.2
IDXX,558.44
MCHP,85.03
CDNS,170.98
CNC,81.49
DXCM,486.17
PXD,205.95
CTSH,89.0
ORLY,684.3
TT,193.48
MSCI,558.1
CARR,52.63
HPQ,39.4
MAR,166.07
AEP,89.88
DLR,160.0
MPC,73.11
A,153.15
CMG,1595.0
DOW,59.75
TROW,196.87
FTNT,326.0
GPN,149.7
PRU,116.0
LHX,222.02
DD,83.16
MSI,256.05
APTV,159.7
BAX,86.36
SRE,136.72
SIVB,734.38
HLT,154.07
EBAY,67.0
AZO,2000.98
STZ,252.5
GIS,68.45
PH,321.37
PAYX,129.69
ALGN,562.73
TRV,163.16
O,71.29
SYY,78.43
PPG,168.81
ADM,69.91
MCK,254.83
WBA,54.61
AFL,63.4
ROK,335.0
